
105年10月07日當日沖銷交易標的
證券代號,證券名稱,暫停現股賣出後現款買進當沖註記
1436  ,華友聯              ,   
1437  ,勤益控              ,   
1439  ,中和                ,   
1440  ,南紡                ,   
1442  ,名軒                ,   
1444  ,力麗                ,   
1445  ,大宇                ,   
1446  ,宏和                ,   
1447  ,力鵬                ,   
1451  ,年興                ,   
1452  ,宏益                ,   
1453  ,大將                ,   
1454  ,台富                ,   
1455  ,集盛                ,   
1456  ,怡華                ,   
1457  ,宜進                ,   
1459  ,聯發                ,   
1460  ,宏遠                ,   
1463  ,強盛                ,   
1464  ,得力                ,   
1465  ,偉全                ,   
1466  ,聚隆                ,   
1467  ,南緯                ,   
1470  ,大統染              ,   
1471  ,首利                ,   
1473  ,台南                ,   
1474  ,弘裕                ,   
1476  ,儒鴻                ,   
1477  ,聚陽                ,   
1503  ,士電                ,   
1504  ,東元                ,   
1506  ,正道                ,   
1507  ,永大                ,   
1513  ,中興電              ,   
1514  ,亞力                ,   
1515  ,力山                ,   
1516  ,川飛                ,   
1517  ,利奇                ,   
1519  ,華城                ,   
1521  ,大億                ,   
1522  ,堤維西              ,   
1524  ,耿鼎                ,   
1525  ,江申                ,   
1526  ,日馳                ,   
1527  ,鑽全                ,   
1528  ,恩德                ,   
1530  ,亞崴                ,   
1531  ,高林股              ,   
1532  ,勤美                ,   
1533  ,車王電              ,   
1535  ,中宇                ,   
1536  ,和大                ,   
1537  ,廣隆                ,   
1539  ,巨庭                ,   
1540  ,喬福                ,   
1541  ,錩泰                ,   
1558  ,伸興                ,   
1560  ,中砂                ,   
1568  ,倉佑                ,   
1582  ,信錦                ,   
1583  ,程泰                ,   
1589  ,永冠-KY             ,   
1590  ,亞德客-KY           ,   
1592  ,英瑞-KY             ,   
1603  ,華電                ,   
1604  ,聲寶                ,   
1605  ,華新                ,   
1608  ,華榮                ,   
1609  ,大亞                ,   
1611  ,中電                ,   
1612  ,宏泰                ,   
1614  ,三洋電              ,   
1615  ,大山                ,   
1617  ,榮星                ,   
1618  ,合機                ,   
1626  ,艾美特-KY           ,   
1701  ,中化                ,   
1702  ,南僑                ,   
1704  ,榮化                ,   
1707  ,葡萄王              ,   
1708  ,東鹼                ,   
1709  ,和益                ,   
1710  ,東聯                ,   
1711  ,永光                ,   
1712  ,興農                ,   
1713  ,國化                ,   
1714  ,和桐                ,   
1715  ,萬洲                ,   
1717  ,長興                ,   
1718  ,中纖                ,   
1720  ,生達                ,   
1721  ,三晃                ,   
1722  ,台肥                ,   
1723  ,中碳                ,   
1724  ,台硝                ,   
1725  ,元禎                ,   
1726  ,永記                ,   
1727  ,中華化              ,   
1729  ,必翔                ,   
1730  ,花仙子              ,   
1731  ,美吾華              ,   
1732  ,毛寶                ,   
1733  ,五鼎                ,   
1734  ,杏輝                ,   
1735  ,日勝化              ,   
1736  ,喬山                ,   
1737  ,臺鹽                ,   
1762  ,中化生              ,   
1773  ,勝一                ,   
1783  ,和康生              ,   
1786  ,科妍                ,   
1789  ,神隆                ,   
1802  ,台玻                ,   
1806  ,冠軍                ,   
1808  ,潤隆                ,   
1810  ,和成                ,   
1817  ,凱撒衛              ,   
1902  ,台紙                ,   
1903  ,士紙                ,   
1904  ,正隆                ,   
1905  ,華紙                ,   
1906  ,寶隆                ,   
1907  ,永豐餘              ,   
1909  ,榮成                ,   
2002  ,中鋼                ,   
2006  ,東和鋼鐵            ,   
2008  ,高興昌              ,   
2010  ,春源                ,   
2012  ,春雨                ,   
2013  ,中鋼構              ,   
2015  ,豐興                ,   
2017  ,官田鋼              ,   
2020  ,美亞                ,   
2023  ,燁輝                ,   
2024  ,志聯                ,   
2027  ,大成鋼              ,   
2029  ,盛餘                ,   
2030  ,彰源                ,   
2031  ,新光鋼              ,   
2032  ,新鋼                ,   
2033  ,佳大                ,   
2034  ,允強                ,   
2038  ,海光                ,   
2049  ,上銀                ,   
2059  ,川湖                ,   
2062  ,橋椿                , Y 
2069  ,運錩                ,   
2101  ,南港                ,   
2102  ,泰豐                ,   
2103  ,台橡                ,   
2104  ,中橡                ,   
2105  ,正新                ,   
2106  ,建大                ,   
2107  ,厚生                ,   
2108  ,南帝                ,   
2109  ,華豐                ,   
2114  ,鑫永銓              ,   
2115  ,六暉-KY             ,   
2201  ,裕隆                ,   
2204  ,中華                ,   
2206  ,三陽工業            ,   
2207  ,和泰車              ,   
2208  ,台船                ,   
2228  ,劍麟                ,   
2231  ,為升                , Y 
2236  ,百達-KY             ,   
2239  ,英利-KY             ,   
2301  ,光寶科              ,   
2302  ,麗正                ,   
2303  ,聯電                ,   
2305  ,全友                ,   
2308  ,台達電              ,   
2311  ,日月光              ,   
2312  ,金寶                ,   
2313  ,華通                ,   
2314  ,台揚                ,   
2316  ,楠梓電              ,   
2317  ,鴻海                ,   
2323  ,中環                ,   
2324  ,仁寶                ,   
2325  ,矽品                ,   
2327  ,國巨                ,   
2328  ,廣宇                ,   
2329  ,華泰                , Y 
2330  ,台積電              ,   
2331  ,精英                ,   
2332  ,友訊                ,   
2338  ,光罩                ,   
2340  ,光磊                ,   
2344  ,華邦電              ,   
2345  ,智邦                ,   
2347  ,聯強                ,   
2348  ,海悅                ,   
2351  ,順德                ,   
2352  ,佳世達              ,   
2353  ,宏碁                ,   
2354  ,鴻準                ,   
2355  ,敬鵬                ,   
2356  ,英業達              ,   
2357  ,華碩                ,   
2359  ,所羅門              ,   
2360  ,致茂                ,   
2362  ,藍天                ,   
2363  ,矽統                ,   
2365  ,昆盈                ,   
2367  ,燿華                ,   
2368  ,金像電              ,   
2369  ,菱生                ,   
2371  ,大同                ,   
2373  ,震旦行              ,   
2374  ,佳能                ,   
2375  ,智寶                ,   
2376  ,技嘉                ,   
2377  ,微星                ,   
2379  ,瑞昱                ,   
2380  ,虹光                ,   
2382  ,廣達                ,   
2383  ,台光電              ,   
2385  ,群光                ,   
2387  ,精元                ,   
2390  ,云辰                ,   
2392  ,正崴                ,   
2393  ,億光                ,   
2395  ,研華                ,   
2397  ,友通                ,   
2399  ,映泰                ,   
2401  ,凌陽                ,   
2402  ,毅嘉                ,   
2404  ,漢唐                ,   
2405  ,浩鑫                ,   
2406  ,國碩                ,   
2408  ,南亞科              ,   
2409  ,友達                ,   
2412  ,中華電              ,   
2413  ,環科                ,   
2414  ,精技                ,   
2415  ,錩新                ,   
2417  ,圓剛                ,   
2419  ,仲琦                ,   
2420  ,新巨                ,   
2421  ,建準                ,   
2423  ,固緯                ,   
2424  ,隴華                ,   
2425  ,承啟                ,   
2426  ,鼎元                ,   
2427  ,三商電              ,   
2428  ,興勤                ,   
2430  ,燦坤                ,   
2431  ,聯昌                ,   
2433  ,互盛電              ,   
2436  ,偉詮電              ,   
2437  ,旺詮                ,   
2439  ,美律                ,   
2441  ,超豐                ,   
2442  ,新美齊              ,   
2443  ,新利虹              ,   
2444  ,友旺                ,   
2448  ,晶電                ,   
2449  ,京元電子            ,   
2450  ,神腦                ,   
2451  ,創見                ,   
2453  ,凌群                ,   
2454  ,聯發科              ,   
2455  ,全新                ,   
2456  ,奇力新              ,   
2457  ,飛宏                ,   
2458  ,義隆                ,   
2459  ,敦吉                ,   
2460  ,建通                ,   
2461  ,光群雷              ,   
2462  ,良得電              ,   
2464  ,盟立                ,   
2466  ,冠西電              ,   
2467  ,志聖                ,   
2468  ,華經                ,   
2471  ,資通                ,   
2472  ,立隆電              ,   
2474  ,可成                ,   
2476  ,鉅祥                ,   
2477  ,美隆電              ,   
2478  ,大毅                , Y 
2480  ,敦陽科              ,   
2481  ,強茂                ,   
2482  ,連宇                ,   
2483  ,百容                ,   
2484  ,希華                ,   
2485  ,兆赫                ,   
2486  ,一詮                ,   
2488  ,漢平                ,   
2489  ,瑞軒                ,   
2492  ,華新科              ,   
2493  ,揚博                ,   
2495  ,普安                ,   
2497  ,怡利電              ,   
2498  ,宏達電              ,   
2499  ,東貝                ,   
2501  ,國建                , Y 
2504  ,國產                ,   
2505  ,國揚                ,   
2506  ,太設                ,   
2509  ,全坤建              ,   
2511  ,太子                ,   
2514  ,龍邦                ,   
2515  ,中工                ,   
2516  ,新建                ,   
2520  ,冠德                ,   
2524  ,京城                ,   
2527  ,宏璟                ,   
2528  ,皇普                ,   
2530  ,華建                ,   
2534  ,宏盛                ,   
2535  ,達欣工              ,   
2536  ,宏普                ,   
2537  ,聯上發              ,   
2538  ,基泰                ,   
2539  ,櫻花建              ,   
2540  ,愛山林              ,   
2542  ,興富發              ,   
2543  ,皇昌                ,   
2545  ,皇翔                ,   
2546  ,根基                ,   
2547  ,日勝生              ,   
2548  ,華固                ,   
2597  ,潤弘                ,   
2601  ,益航                ,   
2603  ,長榮                ,   
2605  ,新興                ,   
2606  ,裕民                ,   
2607  ,榮運                ,   
2608  ,大榮                ,   
2609  ,陽明                ,   
2610  ,華航                ,   
2611  ,志信                ,   
2612  ,中航                ,   
2613  ,中櫃                ,   
2615  ,萬海                ,   
2616  ,山隆                ,   
2617  ,台航                ,   
2618  ,長榮航              ,   
2634  ,漢翔                ,   
2637  ,慧洋-KY             , Y 
2642  ,宅配通              ,   
2701  ,萬企                ,   
2702  ,華園                ,   
2704  ,國賓                ,   
2705  ,六福                ,   
2706  ,第一店              ,   
2707  ,晶華                ,   
2712  ,遠雄來              ,   
2722  ,夏都                ,   
2723  ,美食-KY             ,   
2727  ,王品                ,   
2731  ,雄獅                ,   
2801  ,彰銀                ,   
2809  ,京城銀              ,   
2812  ,台中銀              ,   
2816  ,旺旺保              ,   
2820  ,華票                ,   
2823  ,中壽                ,   
2832  ,台產                ,   
2834  ,臺企銀              ,   
2836  ,高雄銀              ,   
2838  ,聯邦銀              ,   
2841  ,台開                ,   
2845  ,遠東銀              ,   
2849  ,安泰銀              ,   
2850  ,新產                ,   
2851  ,中再保              ,   
2852  ,第一保              ,   
2855  ,統一證              ,   
2856  ,元富證              ,   
2867  ,三商壽              ,   
2880  ,華南金              ,   
2881  ,富邦金              ,   
2882  ,國泰金              ,   
2883  ,開發金              ,   
2884  ,玉山金              ,   
2885  ,元大金              ,   
2886  ,兆豐金              ,   
2887  ,台新金              ,   
2888  ,新光金              ,   
2889  ,國票金              ,   
2890  ,永豐金              ,   
2891  ,中信金              , Y 
2892  ,第一金              ,   
2901  ,欣欣                ,   
2903  ,遠百                ,   
2904  ,匯僑                ,   
2905  ,三商                ,   
2906  ,高林                ,   
2908  ,特力                ,   
2910  ,統領                ,   
2911  ,麗嬰房              ,   
2912  ,統一超              ,   
2913  ,農林                ,   
2915  ,潤泰全              ,   
2929  ,淘帝-KY             ,   
3002  ,歐格                ,   
3003  ,健和興              ,   
3004  ,豐達科              ,   
3005  ,神基                ,   
3006  ,晶豪科              ,   
3008  ,大立光              ,   
3010  ,華立                ,   
3011  ,今皓                ,   
3013  ,晟銘電              ,   
3014  ,聯陽                ,   
3015  ,全漢                ,   
3016  ,嘉晶                ,   
3017  ,奇鋐                ,   
3018  ,同開                ,   
3019  ,亞光                ,   
3021  ,鴻名                ,   
3022  ,威強電              ,   
3023  ,信邦                ,   
3025  ,星通                ,   
3026  ,禾伸堂              ,   
3027  ,盛達                ,   
3028  ,增你強              ,   
3029  ,零壹                ,   
3030  ,德律                ,   
3031  ,佰鴻                ,   
3032  ,偉訓                ,   
3033  ,威健                ,   
3034  ,聯詠                ,   
3035  ,智原                ,   
3036  ,文曄                ,   
3037  ,欣興                ,   
3038  ,全台                ,   
3040  ,遠見                ,   
3041  ,揚智                ,   
3042  ,晶技                ,   
3044  ,健鼎                ,   
3045  ,台灣大              ,   
3047  ,訊舟                ,   
3048  ,益登                ,   
3050  ,鈺德                ,   
3052  ,夆典                ,   
3054  ,立萬利              ,   
3055  ,蔚華科              ,   
3056  ,總太                ,   
3057  ,喬鼎                ,   
3058  ,立德                ,   
3059  ,華晶科              ,   
3060  ,銘異                ,   
3062  ,建漢                ,   
3090  ,日電貿              ,   
3094  ,聯傑                ,   
3130  ,一零四              ,   
3164  ,景岳                ,   
3167  ,大量                ,   
3189  ,景碩                ,   
3209  ,全科                ,   
3231  ,緯創                ,   
3257  ,虹冠電              ,   
3266  ,昇陽                ,   
3296  ,勝德                ,   
3305  ,昇貿                ,   
3308  ,聯德                ,   
3311  ,閎暉                ,   
3312  ,弘憶股              ,   
3315  ,宣昶                ,   
3321  ,同泰                ,   
3338  ,泰碩                ,   
3356  ,奇偶                ,   
3376  ,新日興              ,   
3380  ,明泰                ,   
3406  ,玉晶光              ,   
3413  ,京鼎                ,   
3416  ,融程電              ,   
3419  ,譁裕                ,   
3432  ,台端                ,   
3437  ,榮創                ,   
3443  ,創意                ,   
3450  ,聯鈞                ,   
3454  ,晶睿                ,   
3474  ,華亞科              ,   
3481  ,群創                ,   
3494  ,誠研                ,   
3501  ,維熹                ,   
3504  ,揚明光              ,   
3514  ,昱晶                ,   
3515  ,華擎                ,   
3518  ,柏騰                ,   
3519  ,綠能                ,   
3528  ,安馳                ,   
3533  ,嘉澤                ,   
3535  ,晶彩科              ,   
3545  ,敦泰                ,   
3550  ,聯穎                ,   
3559  ,全智科              , Y 
3561  ,昇陽光電            ,   
3576  ,新日光              ,   
3579  ,尚志                ,   
3583  ,辛耘                ,   
3588  ,通嘉                ,   
3591  ,艾笛森              ,   
3596  ,智易                ,   
3605  ,宏致                ,   
3607  ,谷崧                ,   
3617  ,碩天                ,   
3622  ,洋華                ,   
3645  ,達邁                ,   
3653  ,健策                ,   
3661  ,世芯-KY             ,   
3665  ,貿聯-KY             ,   
3669  ,圓展                ,   
3673  ,TPK-KY              ,   
3679  ,新至陞              ,   
3682  ,亞太電              ,   
3686  ,達能                ,   
3694  ,海華                ,   
3698  ,隆達                ,   
3702  ,大聯大              ,   
3703  ,欣陸                ,   
3704  ,合勤控              ,   
3705  ,永信                ,   
3706  ,神達                ,   
3708  ,上緯投控            ,   
4104  ,佳醫                ,   
4106  ,雃博                ,   
4108  ,懷特                ,   
4119  ,旭富                ,   
4133  ,亞諾法              ,   
4137  ,麗豐-KY             ,   
4141  ,龍燈-KY             ,   
4142  ,國光生              ,   
4144  ,康聯-KY             ,   
4164  ,承業醫              ,   
4190  ,佐登-KY             ,   
4306  ,炎洲                ,   
4426  ,利勤                ,   
4526  ,東台                ,   
4532  ,瑞智                ,   
4536  ,拓凱                ,   
4545  ,銘鈺                ,   
4551  ,智伸科              ,   
4555  ,氣立                ,   
4557  ,永新-KY             ,   
4720  ,德淵                ,   
4722  ,國精化              ,   
4725  ,信昌化              ,   
4737  ,華廣                ,   
4746  ,台耀                ,   
4755  ,三福化              ,   
4763  ,材料-KY             ,   
4904  ,遠傳                ,   
4906  ,正文                ,   
4912  ,聯德控股-KY         ,   
4915  ,致伸                ,   
4916  ,事欣科              ,   
4919  ,新唐                ,   
4927  ,泰鼎-KY             ,   
4930  ,燦星網              ,   
4934  ,太極                ,   
4935  ,茂林-KY             ,   
4938  ,和碩                ,   
4942  ,嘉彰                ,   
4952  ,凌通                ,   
4956  ,光鋐                ,   
4958  ,臻鼎-KY             ,   
4960  ,奇美材              ,   
4968  ,立積                ,   
4976  ,佳凌                ,   
4977  ,眾達-KY             ,   
4984  ,科納-KY             ,   
4994  ,傳奇                ,   
4999  ,鑫禾                ,   
5007  ,三星                ,   
5203  ,訊連                ,   
5215  ,科嘉-KY             ,   
5225  ,東科-KY             ,   
5234  ,達興材料            ,   
5243  ,乙盛-KY             ,   
5264  ,鎧勝-KY             ,   
5269  ,祥碩                ,   
5285  ,界霖                ,   
5288  ,豐祥-KY             ,   
5305  ,敦南                ,   
5388  ,中磊                ,   
5434  ,崇越                ,   
5469  ,瀚宇博              ,   
5471  ,松翰                ,   
5515  ,建國                ,   
5519  ,隆大                ,   
5521  ,工信                ,   
5522  ,遠雄                ,   
5525  ,順天                ,   
5531  ,鄉林                ,   
5533  ,皇鼎                ,   
5534  ,長虹                ,   
5538  ,東明-KY             ,   
5607  ,遠雄港              ,   
5608  ,四維航              ,   
5706  ,鳳凰                ,   
5871  ,中租-KY             ,   
5880  ,合庫金              ,   
5907  ,大洋-KY             ,   
6005  ,群益證              ,   
6108  ,競國                ,   
6112  ,聚碩                ,   
6115  ,鎰勝                ,   
6117  ,迎廣                ,   
6120  ,達運                ,   
6128  ,上福                ,   
6133  ,金橋                ,   
6136  ,富爾特              ,   
6139  ,亞翔                ,   
6141  ,柏承                ,   
6142  ,友勁                ,   
6145  ,勁永                ,   
6152  ,百一                ,   
6153  ,嘉聯益              ,   
6155  ,鈞寶                ,   
6164  ,華興                ,   
6166  ,凌華                ,   
6168  ,宏齊                ,   
6176  ,瑞儀                ,   
6177  ,達麗                ,   
6183  ,關貿                ,   
6184  ,大豐電              ,   
6189  ,豐藝                ,   
6191  ,精成科              ,   
6192  ,巨路                ,   
6196  ,帆宣                ,   
6197  ,佳必琪              ,   
6201  ,亞弘電              ,   
6202  ,盛群                ,   
6205  ,詮欣                ,   
6206  ,飛捷                ,   
6209  ,今國光              ,   
6213  ,聯茂                ,   
6214  ,精誠                ,   
6215  ,和椿                ,   
6216  ,居易                ,   
6224  ,聚鼎                ,   
6226  ,光鼎                ,   
6230  ,超眾                ,   
6239  ,力成                ,   
6243  ,迅杰                ,   
6251  ,定穎                ,   
6257  ,矽格                ,   
6269  ,台郡                ,   
6271  ,同欣電              ,   
6277  ,宏正                ,   
6278  ,台表科              ,   
6281  ,全國電              ,   
6282  ,康舒                ,   
6285  ,啟碁                ,   
6405  ,悅城                ,   
6409  ,旭隼                ,   
6412  ,群電                ,   
6414  ,樺漢                ,   
6415  ,矽力-KY             ,   
6422  ,君耀-KY             ,   
6431  ,光麗-KY             ,   
6442  ,光聖                ,   
6443  ,元晶                ,   
6449  ,鈺邦                ,   
6451  ,訊芯-KY             ,   
6452  ,康友-KY             ,   
6456  ,GIS-KY              ,   
6464  ,台數科              ,   
6504  ,南六                ,   
6505  ,台塑化              ,   
6605  ,帝寶                ,   
8011  ,台通                ,   
8016  ,矽創                ,   
8021  ,尖點                ,   
8039  ,台虹                ,   
8046  ,南電                ,   
8070  ,長華                ,   
8072  ,陞泰                ,   
8081  ,致新                ,   
8103  ,瀚荃                ,   
8105  ,凌巨                ,   
8110  ,華東                ,   
8112  ,至上                ,   
8114  ,振樺電              ,   
8131  ,福懋科              ,   
8150  ,南茂                ,   
8163  ,達方                ,   
8201  ,無敵                ,   
8210  ,勤誠                ,   
8213  ,志超                ,   
8215  ,明基材              ,   
8222  ,寶一                ,   
8249  ,菱光                ,   
8261  ,富鼎                ,   
8271  ,宇瞻                ,   
8341  ,日友                ,   
8374  ,羅昇                ,   
8404  ,百和興業-KY         ,   
8411  ,福貞-KY             ,   
8422  ,可寧衛              ,   
8427  ,基勝-KY             ,   
8429  ,金麗-KY             ,   
8443  ,阿瘦                ,   
8454  ,富邦媒              ,   
8463  ,潤泰材              ,   
8464  ,億豐                ,   
8467  ,波力-KY             ,   
8926  ,台汽電              ,   
8940  ,新天地              ,   
8996  ,高力                ,   
9103  ,美德醫療-DR         ,   
9105  ,泰金寶-DR           ,   
910801,金衛-DR             ,   
911616,杜康-DR             ,   
9136  ,巨騰-DR             ,   
9802  ,鈺齊-KY             ,   
9902  ,台火                ,   
9904  ,寶成                ,   
9905  ,大華                ,   
9906  ,欣巴巴              ,   
9907  ,統一實              ,   
9908  ,大台北              ,   
9910  ,豐泰                ,   
9911  ,櫻花                ,   
9912  ,偉聯                ,   
9914  ,美利達              ,   
9917  ,中保                ,   
9918  ,欣天然              ,   
9919  ,康那香              ,   
9921  ,巨大                ,   
9924  ,福興                ,   
9925  ,新保                ,   
9926  ,新海                ,   
9927  ,泰銘                ,   
9930  ,中聯資源            ,   
9931  ,欣高                ,   
9933  ,中鼎                ,   
9934  ,成霖                ,   
9937  ,全國                ,   
9938  ,百和                ,   
9939  ,宏全                ,   
9940  ,信義                ,   
9941  ,裕融                ,   
9942  ,茂順                ,   
9943  ,好樂迪              ,   
9944  ,新麗                ,   
9945  ,潤泰新              ,   
9946  ,三發地產            ,   
9955  ,佳龍                ,   
9958  ,世紀鋼              ,   

